#YYYY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2000,1,1,0,182,1.8,2.4,99.0,99.0,99.0,999,1016.1,1.5,0.7,-4.0,99.0,
2000,1,1,1,186,4.6,5.2,99.0,99.0,99.0,999,1015.1,1.8,0.7,-3.6,99.0,
2000,1,1,2,197,6.9,7.8,99.0,99.0,99.0,999,1014.2,1.7,0.7,-3.6,99.0,
2000,1,1,3,195,6.7,8.3,99.0,99.0,99.0,999,1013.5,1.4,0.8,-2.2,99.0,
2000,1,1,4,198,7.2,8.3,99.0,99.0,99.0,999,1013.3,1.3,1.0,-2.4,99.0,
2000,1,1,5,197,8.5,10.9,99.0,99.0,99.0,999,1012.3,1.4,0.9,-2.9,99.0,
2000,1,1,6,196,8.4,9.5,99.0,99.0,99.0,999,1011.6,1.6,1.0,-2.8,99.0,
2000,1,1,7,200,9.6,10.8,99.0,99.0,99.0,999,1010.5,2.9,1.0,-2.1,99.0,
2000,1,1,8,216,9.6,11.6,99.0,99.0,99.0,999,1010.5,4.4,1.2,-0.5,99.0,
2000,1,1,9,230,8.6,11.8,99.0,99.0,99.0,999,1010.7,4.7,1.3,-0.6,99.0,
2000,1,1,10,231,7.9,9.7,99.0,99.0,99.0,999,1011.2,4.1,1.0,-0.3,99.0,
2000,1,1,11,236,6.9,7.7,99.0,99.0,99.0,999,1011.9,3.6,0.9,-0.8,99.0,
2000,1,1,12,219,3.5,4.7,99.0,99.0,99.0,999,1013.0,3.1,1.2,-0.6,99.0,
2000,1,1,13,228,2.6,3.3,99.0,99.0,99.0,999,1013.9,2.4,1.4,-0.7,99.0,
2000,1,1,14,232,2.6,3.5,99.0,99.0,99.0,999,1014.6,1.8,2.0,-0.8,99.0,
2000,1,1,15,231,3.3,3.7,99.0,99.0,99.0,999,1015.0,1.7,1.2,-1.0,99.0,
2000,1,1,16,241,3.1,3.8,99.0,99.0,99.0,999,1015.5,2.1,1.0,-0.8,99.0,
2000,1,1,17,270,2.9,4.1,99.0,99.0,99.0,999,1015.6,3.0,1.8,-1.1,99.0,
2000,1,1,18,329,1.6,2.2,99.0,99.0,99.0,999,1015.2,3.3,1.7,-1.5,99.0,
2000,1,1,19,16,4.5,4.9,99.0,99.0,99.0,999,1015.1,2.4,1.5,0.2,99.0,
2000,1,1,20,34,5.7,6.2,99.0,99.0,99.0,999,1015.0,2.0,1.5,-0.3,99.0,
2000,1,1,21,16,5.0,5.6,99.0,99.0,99.0,999,1015.2,2.1,1.6,0.9,99.0,
2000,1,1,22,22,4.8,5.1,99.0,99.0,99.0,999,1015.5,2.3,1.4,1.4,99.0,
2000,1,1,23,50,4.4,4.8,99.0,99.0,99.0,999,1015.3,2.8,1.2,1.8,99.0,
2000,1,2,0,63,5.6,6.1,99.0,99.0,99.0,999,1014.7,3.0,1.2,1.6,99.0,
2000,1,2,1,74,4.5,4.9,99.0,99.0,99.0,999,1014.7,3.1,1.2,2.4,99.0,
2000,1,2,2,79,4.0,4.3,99.0,99.0,99.0,999,1013.7,3.3,1.3,2.5,99.0,
2000,1,2,3,78,4.7,5.0,99.0,99.0,99.0,999,1013.3,3.5,1.3,3.1,99.0,
2000,1,2,4,74,2.9,3.1,99.0,99.0,99.0,999,1013.4,3.7,1.2,3.5,99.0,
2000,1,2,5,63,1.9,2.3,99.0,99.0,99.0,999,1012.8,3.4,1.2,3.2,99.0,
2000,1,2,6,58,4.4,4.6,99.0,99.0,99.0,999,1011.6,3.6,1.1,3.5,99.0,
2000,1,2,7,63,3.0,3.3,99.0,99.0,99.0,999,1010.4,3.7,1.1,3.7,99.0,
2000,1,2,8,79,4.9,5.3,99.0,99.0,99.0,999,1008.8,3.9,1.1,3.9,99.0,
2000,1,2,9,124,4.3,5.1,99.0,99.0,99.0,999,1007.6,4.0,1.1,4.0,99.0,
2000,1,2,10,125,6.8,7.8,99.0,99.0,99.0,999,1005.7,4.3,1.2,4.1,99.0,
2000,1,2,11,191,2.8,4.6,99.0,99.0,99.0,999,1004.5,4.6,1.1,4.6,99.0,
2000,1,2,12,180,8.2,9.3,99.0,99.0,99.0,999,1003.7,5.2,1.1,5.2,99.0,
2000,1,2,13,167,7.5,8.2,99.0,99.0,99.0,999,1002.6,4.5,1.2,4.5,99.0,
2000,1,2,14,178,6.9,7.4,99.0,99.0,99.0,999,1002.3,4.8,1.3,4.8,99.0,
2000,1,2,15,162,7.8,8.7,99.0,99.0,99.0,999,1000.3,4.3,1.5,4.3,99.0,
2000,1,2,16,182,7.7,10.0,99.0,99.0,99.0,999,1000.3,6.0,1.6,6.0,99.0,
2000,1,2,17,190,5.7,6.5,99.0,99.0,99.0,999,998.9,5.6,1.7,5.6,99.0,
2000,1,2,18,177,8.6,9.1,99.0,99.0,99.0,999,997.0,5.6,2.1,5.5,99.0,
2000,1,2,19,202,2.6,2.8,99.0,99.0,99.0,999,997.0,6.7,2.7,6.7,99.0,
2000,1,2,20,324,6.9,8.3,99.0,99.0,99.0,999,998.5,5.8,1.9,5.8,99.0,
2000,1,2,21,326,5.2,6.1,99.0,99.0,99.0,999,1000.9,2.2,1.8,2.2,99.0,
2000,1,2,22,334,8.5,10.3,99.0,99.0,99.0,999,1003.9,1.5,1.6,1.5,99.0,
2000,1,2,23,343,8.5,9.9,99.0,99.0,99.0,999,1005.8,1.1,1.6,1.0,99.0,
2000,1,3,0,357,10.4,11.9,99.0,99.0,99.0,999,1008.1,1.2,1.6,0.9,99.0,
2000,1,3,1,348,10.0,10.9,99.0,99.0,99.0,999,1010.0,1.2,1.5,1.1,99.0,
2000,1,3,2,346,10.6,11.9,99.0,99.0,99.0,999,1011.8,1.1,1.4,0.9,99.0,
2000,1,3,3,357,10.2,11.4,99.0,99.0,99.0,999,1013.1,1.0,1.4,0.8,99.0,
2000,1,3,4,4,12.0,13.2,99.0,99.0,99.0,999,1013.5,0.9,1.4,0.4,99.0,
2000,1,3,5,7,12.0,14.4,99.0,99.0,99.0,999,1014.1,0.8,1.3,0.6,99.0,
2000,1,3,6,7,11.8,13.4,99.0,99.0,99.0,999,1015.1,0.5,1.2,0.1,99.0,
2000,1,3,7,6,9.7,11.6,99.0,99.0,99.0,999,1016.1,0.2,1.1,-0.2,99.0,
2000,1,3,8,350,6.3,7.5,99.0,99.0,99.0,999,1017.5,-0.1,0.9,-0.5,99.0,
2000,1,3,9,358,8.7,10.1,99.0,99.0,99.0,999,1018.0,-0.1,0.9,-0.5,99.0,
2000,1,3,10,25,10.3,12.0,99.0,99.0,99.0,999,1018.5,0.6,0.8,0.4,99.0,
2000,1,3,11,44,8.3,9.2,99.0,99.0,99.0,999,1019.5,1.2,0.8,-0.5,99.0,
2000,1,3,12,30,12.8,14.7,99.0,99.0,99.0,999,1016.3,1.0,0.8,-0.2,99.0,
2000,1,3,13,35,13.5,14.7,99.0,99.0,99.0,999,1017.0,0.8,0.8,0.3,99.0,
2000,1,3,14,35,12.2,14.1,99.0,99.0,99.0,999,1017.2,0.6,0.8,0.1,99.0,
2000,1,3,15,47,11.0,13.0,99.0,99.0,99.0,999,1017.5,0.4,0.8,-3.6,99.0,
2000,1,3,16,50,10.6,12.4,99.0,99.0,99.0,999,1017.3,0.4,0.8,-0.5,99.0,
2000,1,3,17,64,8.6,9.9,99.0,99.0,99.0,999,1017.2,0.2,0.8,-0.4,99.0,
2000,1,3,18,68,9.0,9.7,99.0,99.0,99.0,999,1015.3,0.1,0.8,-0.6,99.0,
2000,1,3,19,74,10.9,12.4,99.0,99.0,99.0,999,1012.8,0.1,0.8,0.1,99.0,
2000,1,3,20,68,8.3,9.1,99.0,99.0,99.0,999,1012.5,-0.5,0.8,-0.7,99.0,
2000,1,3,21,60,2.2,2.6,99.0,99.0,99.0,999,1012.8,-0.4,0.7,-0.5,99.0,
2000,1,3,22,38,1.3,1.5,99.0,99.0,99.0,999,1012.1,-0.6,0.7,-0.8,99.0,
2000,1,3,23,35,1.5,1.7,99.0,99.0,99.0,999,1010.4,-0.4,0.7,-0.5,99.0,
2000,1,4,0,35,1.5,1.7,99.0,99.0,99.0,999,1009.1,-0.1,0.7,-0.1,99.0,
2000,1,4,1,32,1.7,1.9,99.0,99.0,99.0,999,1008.2,0.2,0.6,0.2,99.0,
2000,1,4,2,42,1.5,1.6,99.0,99.0,99.0,999,1007.1,0.0,0.6,0.0,99.0,
2000,1,4,3,17,1.9,2.1,99.0,99.0,99.0,999,1005.4,-0.2,0.6,-0.3,99.0,
2000,1,4,4,13,2.2,2.5,99.0,99.0,99.0,999,1003.6,-0.5,0.6,-0.5,99.0,
2000,1,4,5,3,1.8,2.4,99.0,99.0,99.0,999,1003.5,-0.4,0.5,-0.5,99.0,
2000,1,4,6,325,1.4,1.6,99.0,99.0,99.0,999,1002.3,-1.5,0.5,-1.5,99.0,
2000,1,4,7,309,1.9,2.5,99.0,99.0,99.0,999,1002.4,-4.1,0.5,-4.2,99.0,
2000,1,4,8,315,1.9,2.6,99.0,99.0,99.0,999,1002.8,-4.3,0.3,-4.4,99.0,
2000,1,4,9,318,1.9,2.3,99.0,99.0,99.0,999,1003.5,-4.1,0.3,-4.3,99.0,
2000,1,4,10,311,1.6,2.0,99.0,99.0,99.0,999,1003.5,-3.9,0.2,-3.9,99.0,
2000,1,4,11,297,1.5,2.0,99.0,99.0,99.0,999,1003.9,-3.3,0.1,-3.3,99.0,
2000,1,4,12,304,1.9,2.4,99.0,99.0,99.0,999,1005.5,-2.4,0.1,-2.5,99.0,
2000,1,4,13,307,1.9,2.4,99.0,99.0,99.0,999,1007.0,-2.4,0.1,-2.6,99.0,
2000,1,4,14,299,1.7,2.2,99.0,99.0,99.0,999,1008.4,-2.5,0.1,-2.9,99.0,
2000,1,4,15,307,2.0,2.5,99.0,99.0,99.0,999,1009.2,-2.4,0.1,-3.4,99.0,
2000,1,4,16,303,11.0,13.8,99.0,99.0,99.0,999,1010.7,-2.3,0.2,-4.5,99.0,
2000,1,4,17,312,8.6,11.1,99.0,99.0,99.0,999,1011.8,-2.3,0.3,-5.3,99.0,
2000,1,4,18,305,6.6,9.0,99.0,99.0,99.0,999,1012.2,-2.1,0.3,-5.6,99.0,
