#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2010,01,01,00,00,292,8.4,9.4,99.00,99.00,99.00,999,1018.9,-8.9,999.0,-14.4,99.0,99.00
2010,01,01,01,00,288,8.4,10.5,99.00,99.00,99.00,999,1019.3,-9.5,999.0,-14.4,99.0,99.00
2010,01,01,02,00,289,8.9,10.7,99.00,99.00,99.00,999,1019.5,-9.7,999.0,-14.6,99.0,99.00
2010,01,01,03,00,298,8.7,10.4,99.00,99.00,99.00,999,1019.7,-9.7,999.0,-14.7,99.0,99.00
2010,01,01,04,00,300,7.8,9.4,99.00,99.00,99.00,999,1020.0,-9.6,999.0,-14.4,99.0,99.00
2010,01,01,05,00,296,8.1,10.7,99.00,99.00,99.00,999,1020.4,-9.6,999.0,-14.2,99.0,99.00
2010,01,01,06,00,305,6.5,7.9,99.00,99.00,99.00,999,1020.7,-9.2,999.0,-13.8,99.0,99.00
2010,01,01,08,00,310,6.7,8.4,99.00,99.00,99.00,999,1021.9,-9.3,999.0,-13.6,99.0,99.00
2010,01,01,09,00,301,6.4,7.8,99.00,99.00,99.00,999,1022.3,-9.7,999.0,-13.6,99.0,99.00
2010,01,01,10,00,303,6.7,7.6,99.00,99.00,99.00,999,1022.3,-10.1,999.0,-13.8,99.0,99.00
2010,01,01,11,00,299,7.1,8.5,99.00,99.00,99.00,999,1022.7,-10.4,999.0,-13.9,99.0,99.00
2010,01,01,12,00,305,7.0,8.6,99.00,99.00,99.00,999,1023.3,-10.5,999.0,-14.0,99.0,99.00
2010,01,01,13,00,316,8.6,10.8,99.00,99.00,99.00,999,1023.6,-10.4,999.0,-14.1,99.0,99.00
2010,01,01,14,00,312,7.4,9.4,99.00,99.00,99.00,999,1024.5,-10.3,999.0,-14.1,99.0,99.00
2010,01,01,15,00,324,7.3,8.8,99.00,99.00,99.00,999,1024.4,-9.8,999.0,-14.1,99.0,99.00
2010,01,01,16,00,331,9.0,10.1,99.00,99.00,99.00,999,1024.8,-9.3,999.0,-14.1,99.0,99.00
2010,01,01,17,00,340,7.9,9.9,99.00,99.00,99.00,999,1024.5,-8.7,999.0,-13.6,99.0,99.00
2010,01,01,18,00,328,9.6,11.7,99.00,99.00,99.00,999,1024.3,-8.4,999.0,-13.4,99.0,99.00
2010,01,01,19,00,324,8.7,10.5,99.00,99.00,99.00,999,1024.5,-7.9,999.0,-12.7,99.0,99.00
2010,01,01,20,00,325,7.5,9.0,99.00,99.00,99.00,999,1024.9,-8.0,999.0,-12.8,99.0,99.00
2010,01,01,21,00,333,8.1,9.2,99.00,99.00,99.00,999,1025.2,-7.9,999.0,-13.5,99.0,99.00
2010,01,01,22,00,323,8.0,9.6,99.00,99.00,99.00,999,1025.6,-8.1,999.0,-14.2,99.0,99.00
2010,01,01,23,00,315,6.5,7.6,99.00,99.00,99.00,999,1026.3,-8.5,999.0,-13.8,99.0,99.00
2010,01,02,00,00,309,5.3,6.5,99.00,99.00,99.00,999,1026.7,-9.3,999.0,-14.2,99.0,99.00
2010,01,02,01,00,304,4.5,5.7,99.00,99.00,99.00,999,1026.9,-9.8,999.0,-14.3,99.0,99.00
2010,01,02,02,00,311,5.1,6.7,99.00,99.00,99.00,999,1026.8,-9.5,999.0,-14.2,99.0,99.00
2010,01,02,03,00,331,7.2,9.6,99.00,99.00,99.00,999,1026.9,-8.9,999.0,-12.6,99.0,99.00
2010,01,02,04,00,335,9.2,10.9,99.00,99.00,99.00,999,1027.1,-9.6,999.0,-16.0,99.0,99.00
