station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,avg_wind_drct,min_rh,avg_rh,max_rh,snow_in,max_wind_speed_kts,max_wind_gust_kts,srad_mj,climo_high_f,climo_low_f,climo_precip_in
SBM,2024-01-01,29.0,26.0,20.0,17.0,0.0,9.645637,279.13696,68.32426,71.770935,77.71283,,19.117477,23.462358,,28.4,13.9,0.04
SBM,2024-01-02,32.0,25.0,26.0,19.0,0.0,9.993227,251.83247,69.04303,76.81547,81.47782,,17.379524,23.462358,,28.2,13.7,0.04
SBM,2024-01-03,35.0,28.0,28.4,15.0,0.0,7.212503,312.70844,57.679825,71.76155,81.630455,,12.165668,17.379524,,28.1,13.5,0.04
SBM,2024-01-04,28.0,20.0,19.0,13.0,0.0,5.2138577,294.68204,57.381668,66.714096,77.62127,,11.296691,15.641572,,27.9,13.3,0.04
SBM,2024-01-05,32.0,17.0,28.0,14.0,0.0,4.0841885,205.49089,71.3349,80.258514,87.865425,,11.296691,14.772596,,27.7,13.1,0.04
SBM,2024-01-06,33.0,30.0,31.0,27.0,0.2,4.605574,106.20732,78.339096,93.54232,100.0,,8.689762,14.772596,,27.6,12.9,0.03
SBM,2024-01-07,32.0,28.0,31.0,23.0,0.04,6.5173216,291.04843,74.8682,87.02465,100.0,,12.165668,15.641572,,27.4,12.7,0.03
SBM,2024-01-08,34.0,28.0,28.0,24.0,0.0,4.605574,140.99301,78.339096,82.94175,88.48496,,12.165668,17.379524,,27.3,12.5,0.04
SBM,2024-01-09,33.0,30.0,31.0,27.0,0.35,15.293982,40.290173,81.630455,93.62687,100.0,,26.069286,33.89007,,27.2,12.3,0.03
SBM,2024-01-10,31.0,26.0,27.0,22.0,0.0001,7.386298,286.3898,71.78017,82.46343,92.8597,,21.724405,28.676216,,27.1,12.1,0.04
SBM,2024-01-11,30.0,26.0,25.0,23.0,0.07,5.387653,334.67435,81.32336,88.94876,95.93131,,13.034643,16.51055,,27.0,12.0,0.03
SBM,2024-01-12,33.0,26.0,31.0,23.0,0.25,18.596092,49.49523,84.85323,94.351135,100.0,,33.89007,46.924717,,26.9,11.8,0.04
SBM,2024-01-13,27.0,11.0,24.0,6.0,0.0001,14.946391,304.3311,67.7078,80.81527,95.91279,,20.85543,33.89007,,26.8,11.7,0.03
SBM,2024-01-14,11.0,-3.0,6.0,-10.0,0.0001,14.425006,269.99814,67.929726,74.48118,83.486275,,22.593382,30.41417,,26.7,11.6,0.03
SBM,2024-01-15,2.0,-8.0,-8.0,-13.0,0.0,10.340817,257.05283,61.96487,71.12959,78.57882,,15.641572,24.331335,,26.6,11.5,0.04
SBM,2024-01-16,-2.0,-10.0,-10.0,-16.0,0.0,13.642927,246.66037,64.65311,69.89216,78.098656,,19.117477,26.069286,,26.5,11.4,0.03
SBM,2024-01-17,9.0,-8.0,1.0,-12.0,0.0,9.12425,239.86763,60.0575,69.68657,79.226234,,17.379524,21.724405,,26.5,11.3,0.04
SBM,2024-01-18,10.0,0.0,5.0,-4.0,0.0001,6.082834,310.24966,57.569458,71.18427,83.4133,,13.034643,16.51055,,26.4,11.2,0.03
SBM,2024-01-19,11.0,6.0,4.0,-1.0,0.0001,10.60151,315.5621,63.40265,71.645096,79.671715,,15.641572,20.85543,,26.4,11.1,0.04
SBM,2024-01-20,15.0,3.0,4.0,-6.0,0.0,10.514612,299.75836,58.335495,67.83219,79.13547,,17.379524,24.331335,,26.3,11.1,0.04
SBM,2024-01-21,19.0,-4.0,11.0,-9.0,0.0,10.25392,208.19308,55.536167,65.73363,75.14798,,19.117477,24.331335,,26.3,11.0,0.03
SBM,2024-01-22,30.0,19.0,26.0,11.0,0.0001,9.732533,207.84154,67.582565,79.42223,88.38497,,17.379524,22.593382,,26.3,11.0,0.04
SBM,2024-01-23,33.0,27.0,32.0,26.0,0.12,4.171086,40.17326,88.38497,95.203865,100.0,,8.689762,12.165668,,26.3,11.0,0.03
SBM,2024-01-24,35.0,31.0,33.0,31.0,0.0,1.3034644,22.627655,92.287315,96.67115,100.0,,6.082834,7.820786,,26.3,10.9,0.03
SBM,2024-01-25,34.0,30.0,34.0,30.0,0.03,2.8676217,28.883623,96.02206,99.43019,100.0,,10.427715,14.772596,,26.4,11.0,0.04
SBM,2024-01-26,36.0,32.0,34.0,32.0,0.12,4.431779,351.39145,96.075066,98.40087,100.0,,8.689762,13.034643,,26.4,11.0,0.03
SBM,2024-01-27,37.0,32.0,34.0,32.0,0.0,3.041417,334.75815,88.77747,96.66462,100.0,,8.689762,12.165668,,26.5,11.0,0.04
SBM,2024-01-28,34.0,30.0,33.0,25.0,0.0001,7.994581,331.43732,75.067375,85.71684,100.0,,13.034643,17.379524,,26.5,11.1,0.03
SBM,2024-01-29,37.0,27.0,31.0,26.0,0.0,8.950456,234.48178,78.513435,89.13412,95.96797,,14.772596,23.462358,,26.6,11.1,0.04
SBM,2024-01-30,36.0,33.0,32.0,30.0,0.0,5.995936,318.588,81.78129,86.74894,96.05751,,11.296691,15.641572,,26.7,11.2,0.03
SBM,2024-01-31,37.0,32.0,33.0,28.0,0.0,10.427715,240.73274,78.59985,83.01981,88.583694,,15.641572,20.85543,,26.8,11.3,0.04
SBM,2024-02-01,42.0,29.0,34.0,24.0,0.0001,8.4290695,355.26187,75.84226,83.56205,92.35433,,17.379524,21.724405,,26.9,11.4,0.03
SBM,2024-02-02,33.0,27.0,29.0,24.0,0.0001,5.7352433,30.917933,81.55437,87.78902,95.96797,,11.296691,13.90362,,27.0,11.5,0.03
SBM,2024-02-03,35.0,26.0,31.0,26.0,0.0001,2.6938264,137.35948,81.630455,88.11594,100.0,,7.820786,10.427715,,27.2,11.6,0.03
SBM,2024-02-04,42.0,26.0,31.0,26.0,0.0,3.3890073,31.480852,57.298237,91.83594,100.0,,8.689762,11.296691,,27.3,11.7,0.04
SBM,2024-02-05,32.0,27.0,30.0,26.0,0.0,4.605574,0.36085838,86.281944,94.110245,100.0,,11.296691,13.90362,,27.5,11.9,0.03
SBM,2024-02-06,39.0,26.0,33.0,26.0,0.0,6.95181,184.10883,75.74727,95.2957,100.0,,12.165668,15.641572,,27.7,12.1,0.03
