day,sst
2021-01-01,4.79
2021-01-02,4.76
2021-01-03,4.71
2021-01-04,4.62
2021-01-05,4.44
2021-01-06,4.25
2021-01-07,4.22
2021-01-08,4.29
2021-01-09,4.33
2021-01-10,4.3
2021-01-11,4.24
2021-01-12,4.21
2021-01-13,4.2
2021-01-14,4.19
2021-01-15,4.06
2021-01-16,3.98
2021-01-17,3.92
2021-01-18,3.88
2021-01-19,3.87
2021-01-20,3.88
2021-01-21,3.87
2021-01-22,3.73
2021-01-23,3.62
2021-01-24,3.57
2021-01-25,3.43
2021-01-26,3.18
2021-01-27,2.88
2021-01-28,2.67
2021-01-29,2.54
2021-01-30,2.52
2021-01-31,2.47
2021-02-01,2.4
2021-02-02,2.35
2021-02-03,2.24
2021-02-04,2.2
2021-02-05,2.2
2021-02-06,2.13
2021-02-07,1.89
2021-02-08,1.87
2021-02-09,1.98
2021-02-10,2.05
2021-02-11,2.1
2021-02-12,2.02
2021-02-13,1.93
2021-02-14,0.2
2021-02-15,1.54
2021-02-16,1.33
2021-02-17,0.2
2021-02-18,0.2
2021-02-19,0.2
2021-02-20,0.2
2021-02-21,0.2
2021-02-22,0.2
2021-02-23,1.38
2021-02-24,1.33
2021-02-25,1.32
2021-02-26,1.42
2021-02-27,1.51
2021-02-28,1.56
2021-03-01,1.59
2021-03-02,1.67
2021-03-03,1.75
2021-03-04,1.66
2021-03-05,1.51
2021-03-06,1.54
2021-03-07,1.69
2021-03-08,1.91
2021-03-09,2.08
2021-03-10,2.18
2021-03-11,2.26
2021-03-12,2.3
2021-03-13,2.29
2021-03-14,2.4
2021-03-15,2.47
2021-03-16,2.54
2021-03-17,2.62
2021-03-18,2.66
2021-03-19,2.71
2021-03-20,2.77
2021-03-21,2.79
2021-03-22,2.79
2021-03-23,2.82
2021-03-24,2.86
2021-03-25,2.9
2021-03-26,2.91
2021-03-27,2.62
2021-03-28,2.54
2021-03-29,3.03
2021-03-30,3.06
2021-03-31,3.07
2021-04-01,3.13
2021-04-02,3.2
2021-04-03,3.31
2021-04-04,3.41
2021-04-05,3.46
2021-04-06,3.47
2021-04-07,3.63
2021-04-08,3.63
2021-04-09,3.59
2021-04-10,3.63
2021-04-11,3.67
2021-04-12,3.69
2021-04-13,3.73
2021-04-14,3.8
2021-04-15,3.89
2021-04-16,3.98
2021-04-17,4.01
2021-04-18,4.02
2021-04-19,4.07
2021-04-20,4.13
2021-04-21,4.17
2021-04-22,4.21
2021-04-23,4.29
2021-04-24,4.42
2021-04-25,4.57
2021-04-26,4.68
2021-04-27,4.92
2021-04-28,5.11
2021-04-29,5.19
2021-04-30,5.3
2021-05-01,5.44
2021-05-02,5.69
2021-05-03,6.04
2021-05-04,6.23
2021-05-05,6.3
2021-05-06,6.48
2021-05-07,6.48
2021-05-08,6.34
2021-05-09,6.42
2021-05-10,6.63
2021-05-11,6.9
2021-05-12,7.25
2021-05-13,7.54
2021-05-14,7.72
2021-05-15,7.85
2021-05-16,8.28
2021-05-17,9.34
2021-05-18,10.06
2021-05-19,10.1
2021-05-20,10.79
2021-05-21,11.55
2021-05-22,12.24
2021-05-23,12.29
2021-05-24,12.03
2021-05-25,12.17
2021-05-26,12.45
2021-05-27,12.18
2021-05-28,11.43
2021-05-29,10.81
2021-05-30,10.72
2021-05-31,10.7
2021-06-01,10.63
2021-06-02,11.03
2021-06-03,12.14
2021-06-04,14.01
2021-06-05,14.82
2021-06-06,15.34
2021-06-07,16.17
2021-06-08,17.41
2021-06-09,18.18
2021-06-10,19.08
2021-06-11,19.63
2021-06-12,19.41
2021-06-13,19.27
2021-06-14,18.5
2021-06-15,17.92
2021-06-16,17.93
2021-06-17,17.96
2021-06-18,18.0
2021-06-19,17.95
2021-06-20,17.83
2021-06-21,17.61
2021-06-22,17.34
2021-06-23,17.15
2021-06-24,17.12
2021-06-25,17.18
2021-06-26,17.12
2021-06-27,16.99
2021-06-28,17.04
2021-06-29,17.23
2021-06-30,17.28
2021-07-01,17.31
2021-07-02,17.5
2021-07-03,17.75
2021-07-04,18.3
2021-07-05,19.02
2021-07-06,19.42
2021-07-07,18.82
2021-07-08,18.18
2021-07-09,18.09
2021-07-10,18.31
2021-07-11,18.49
2021-07-12,18.77
2021-07-13,19.01
